site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
BAW,https://cdli.mpiwg-berlin.mpg.de/proveniences/691,3,,Bakr Āwā,نكرأوI,,,,,,,uncertain (mod. Bakr Āwā),https://pleiades.stoa.org/places/48906852,https://www.openstreetmap.org/way/424696133,https://www.geonames.org/98118,https://en.wikipedia.org/wiki/Bakr_Awa,https://ar.wikipedia.org/wiki/تل_بكراوا,,,,,,https://wikidata.org/wiki/Q42897132,45.9409,35.2221
BAY,https://cdli.mpiwg-berlin.mpg.de/proveniences/231,1,,Baysān,بيسان,,,,,,,uncertain (mod. Beisan),https://pleiades.stoa.org/places/421715028,https://www.openstreetmap.org/node/5370595232,,,,,,,,,,43.1037,36.4222
BAZ,https://cdli.mpiwg-berlin.mpg.de/proveniences/692,3,Armanum?,Tall Bāzy,تل بازي,,,,,,,Armanum? (mod. Tall Bāzy),https://pleiades.stoa.org/places/241871784,https://www.openstreetmap.org/way/729095745,,https://en.wikipedia.org/wiki/Tall_Bazi,https://ar.wikipedia.org//wiki/تل_بازي,,,,,,https://wikidata.org/wiki/Q2390471,38.2762,36.4273
BBK,https://cdli.mpiwg-berlin.mpg.de/proveniences/693,2,,Başbulak,,,,,,,,uncertain (mod. Başbulak),https://pleiades.stoa.org/places/241871785,https://www.openstreetmap.org/node/1951322004,https://www.geonames.org/320457,,,,,,,,https://wikidata.org/wiki/Q1664378,44.2549,39.9374
BDI,https://cdli.mpiwg-berlin.mpg.de/proveniences/694,2,Dur-Aššur-ketti-lešer,Tall Budayrī,تل بديري,,,,,,,Dur-Aššur-ketti-lešer (mod. Tall Budayrī),https://pleiades.stoa.org/places/473755738,https://www.openstreetmap.org/node/572574776,https://www.geonames.org/171243,,,,,,,,,40.8136,36.3875
BES,https://cdli.mpiwg-berlin.mpg.de/proveniences/695,2,,Beşçatak,,,,,,,,uncertain (mod. Beşçatak),https://pleiades.stoa.org/places/139078664,https://www.openstreetmap.org/node/1482093719,https://www.geonames.org/9815294,,,,,,,,,43.5635,38.5159
BHN,https://cdli.mpiwg-berlin.mpg.de/proveniences/696,1,,Banāt al-Hassan,بنات الحسن,,,,,,,uncertain (mod. Banāt al-Hassan 100),https://pleiades.stoa.org/places/180784164,,,,,,,,,,,45.5218,31.5757
BHS,https://cdli.mpiwg-berlin.mpg.de/proveniences/697,1,,Banāt al-Hassan,بنات الحسن,,,,,,,uncertain (mod. Banāt al-Hassan 131),https://pleiades.stoa.org/places/924184480,,,,,,,,,,,45.5399,31.5557
BIN,https://cdli.mpiwg-berlin.mpg.de/proveniences/698,1,,Bingöl Dağ,,,,,,,,uncertain (mod. Bingöl Dağ),https://pleiades.stoa.org/places/280281500,,,,,,,,,,,41.3873,39.3101
BIS,https://cdli.mpiwg-berlin.mpg.de/proveniences/237,2,,Bīsutūn,,,بیستون‎,,,,,uncertain (mod. Behistun),https://pleiades.stoa.org/places/903002,,,,,,,,,,,47.4318,34.3881
BIT,https://cdli.mpiwg-berlin.mpg.de/proveniences/699,2,,Bitlis,,,,,,,,uncertain (mod. Bitlis),https://pleiades.stoa.org/places/874438,https://www.openstreetmap.org/node/26486498,https://www.geonames.org/321025,https://en.wikipedia.org/wiki/Bitlis,,,,,https://tr.wikipedia.org/wiki/Bitlis,,https://wikidata.org/wiki/Q83531,42.1071,38.4013
BLQ,https://cdli.mpiwg-berlin.mpg.de/proveniences/700,1,,Al-Bilād al-Qadīm,البلاد القديم,,,,,,,,https://pleiades.stoa.org/places/324412039,,,,,,,,,,,50.5371,26.2184
