site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
QSH,302,3,Kilizu,Qaṣr Shimāmūk,قصر شماموك,,,,,,,Kilizu (mod. Qasr Shamamuk),https://pleiades.stoa.org/places/894027,https://www.openstreetmap.org/way/460245093,,,,,,,,http://publikationen.badw.de/de/rla/index#6491,,43.7514,36.1039
QTN,0,3,Qaṭnā,Tall al-Mishrifah,تل المشرفة,,,,,,,,https://pleiades.stoa.org/places/412342122,https://www.openstreetmap.org/way/226839682,,https://en.wikipedia.org/wiki/Al-Mushrifah,https://ar.wikipedia.org/wiki/المشرفة_(حمص),https://fa.wikipedia.org/wiki/المشرفه,,,,,,36.8663,34.8346
QUA,158 : 185,3,Apqu-ša-Adad,Tall Abū Māriyā,ال أبو ماريا,,,,,,,uncertain (mod. Abu-Maria) : Apqu-ša-Adad (mod. Tell Abu Marya) : uncertain (mod. Abu-Maria),https://pleiades.stoa.org/places/874723,https://www.openstreetmap.org/node/3323901446,,,,,,,,,,42.5973,36.4295
QUF,0,1,,Qufṭ,قفـط,,,,,,,,https://pleiades.stoa.org/places/786010,https://www.openstreetmap.org/node/332074724,https://www.geonames.org/350560,https://en.wikipedia.org/wiki/Qift,https://ar.wikipedia.org/wiki/قفط,,,,,,https://wikidata.org/wiki/Q935454,32.8158,25.9966
RAJ,0,1,,Al-Rajībah,الرجيبة,,,,,,,,,,,,,,,,,,,45.9690,30.9047
RAZ,0,2,,Rāzlīq,,,رازلیق,,,,,,,https://www.openstreetmap.org/node/4528892051,https://www.geonames.org/118634,https://en.wikipedia.org/wiki/Razliq,,https://fa.wikipedia.org/wiki/رازلیق,,,,,,47.5496,38.0066
RBT,0,3,,Tall ‘Arbīd,تل عربيد,,,,,,,,,https://www.openstreetmap.org/node/567216178,https://www.geonames.org/173053,https://en.wikipedia.org/wiki/Tell_Arbid,https://ar.wikipedia.org/wiki/تل_عربيد,,,,,,https://wikidata.org/wiki/Q4120177,41.0207,36.8728
RKI,0,1,,Khārk,خارک,,,,,,,,,,,,,,,,,,,50.3091,29.2493
RMA,0,3,,Al-Rammāḥīyah,الرماحية,,,,,,,al-Rammahiyah,,,,,,,,,,,,44.7132,31.8940
RQI,0,3,,Tall al-Raqa‘i,,,,,,,,,,,,,,,,,,,,40.8521,36.4400
RSL,0,3,Ursalimmu,Yrṿshlym,,,,,,ירושלים,,,https://pleiades.stoa.org/places/687928,https://www.openstreetmap.org/node/29090735,https://www.geonames.org/281184,,,,,,,,,35.2358,31.7777
RTA,60,1,,Rasm al-Ṭanjara,رسم ال طنجرة,,,,,,,uncertain (mod. el-Ghab),,https://www.openstreetmap.org/node/3478055525,,,,,,,,,,36.3562,35.5872
RTE,297,1,,Rabat Tapah,ربت تپه,,,,,,,uncertain (mod. Rabat Tepe),,,,https://en.wikipedia.org/wiki/Rabat_Tepe,,,,,,,,45.5397,36.2010
RUS,218,3,Rusahinili,Toprakkale,,,,,,,,"Toprakkale, Eastern Anatolia",https://pleiades.stoa.org/places/874771,,,,,,,,,,,43.4064,38.5102
RUT,0,1,,Rutschi Tig,,,,,,,,,,,https://www.geonames.org/799326,,,,,,,,,43.7555,42.9889
SAD,0,1,,Tall S‘aīd,تل سعيد,,,,,,,Tell Saeed,,,,,,,,,,,,45.0127,32.2319
SAI,0,3,,Al-Sayāl,السيال,,,,,,,,,https://www.openstreetmap.org/node/573457692,https://www.geonames.org/172451,,,,,,,,,40.9096,34.5970
SAL,0,2,,Salmanağa,,,,,,,,,,https://www.openstreetmap.org/node/2284818565,https://www.geonames.org/6969119,,,,,,,,,43.4345,39.0482
SAM,360,3,,Shamīt,شميت,,,,,,,Kian (Tell Shmid),,,,,,,,,,,,45.8326,31.7477
SAP,25,3,Sippar,Tall Abū Ḥabbah,تل أبو حبة,,,,,,,Sippar-Yahrurum (mod. Tell Abu Habbah),https://pleiades.stoa.org/places/894089,https://www.openstreetmap.org/way/456641882,https://www.geonames.org/6927414,https://en.wikipedia.org/wiki/Sippar,https://ar.wikipedia.org/wiki/سيبار,,,,,,https://wikidata.org/wiki/Q619707,44.2552,33.0605
SAR,290,3,Dur-Šarrukin,Khūrsabāṭ,خورسباط,,,,,,,Dur-Šarrukin (mod. Khorsabad),https://pleiades.stoa.org/places/874458,https://www.openstreetmap.org/way/888859165,,https://en.wikipedia.org/wiki/Dur-Sharrukin,https://ar.wikipedia.org/wiki/دور_شروكين,,,,,,https://wikidata.org/wiki/Q253208,43.2347,36.5035
SAV,0,1,,Savacık,,,,,,,,,,https://www.openstreetmap.org/node/1449289715,https://www.geonames.org/301457,,,,,,"https://tr.wikipedia.org/wiki/Savacık,_Gürpınar",,,43.6173,38.4123
SBA,308,1,,Sabā‘a,سباع,,,,,,,uncertain (mod. Saba'a),https://pleiades.stoa.org/places/528477900,,,,,,,,,,,41.0810,34.7579
SBY,640,3,,Tall Ṣabī Ābiyaḍ,تل صبي أبيض,,,,,,,,,,,,,,,,,,,39.0915,36.5057
SCH,0,3,,Tall Balāṭah,تل بلاطة‎,,,,,שְׁכָם,,,https://pleiades.stoa.org/places/678403,https://www.openstreetmap.org/node/5773512482,https://www.geonames.org/8070362,https://en.wikipedia.org/wiki/Tell_Balata,,,,https://he.wikipedia.org/wiki/wiki/תל_בלאטה,,,https://wikidata.org/wiki/Q7697383,35.2827,32.2135
SDM,400,2,,Surkh Dum Lurī,,,سرخ دم لـري,,,,,Surkh Dum (mod. Luristan),,,,,,,,,,,,47.7079,33.5064
SDP,96 : 221,3,Šaduppûm,Tall Ḥarmal,تل حرمل,,,,,,,Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal),https://pleiades.stoa.org/places/821129014,https://www.openstreetmap.org/way/85884758,https://www.geonames.org/96040,https://en.wikipedia.org/wiki/Shaduppum,https://ar.wikipedia.org/wiki/تل_حرمل,,,,,http://publikationen.badw.de/de/rla/index#10138,https://wikidata.org/wiki/Q3481186,44.4666,33.3098
SEA,0,3,,Beit She'an,,,,,,בֵּית שְׁאָן‎,,,https://pleiades.stoa.org/places/678378,https://www.openstreetmap.org/node/278473693,https://www.geonames.org/293387,https://en.wikipedia.org/wiki/Beit_She%27an,,,,,,,https://wikidata.org/wiki/Q152368,35.5030,32.5046
SEC,123,0,,,,,,,,,,uncertain (mod. Abu Sêcher),,,,,,,,,,,,,
