site_id,accuracy,cdli_provenience_id,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
USH,3,0,,Ushaklı Höyük,,,,,,,,,https://pleiades.stoa.org/places/512530798,https://www.openstreetmap.org/way/278615085,,,,,,,,,,35.0525,39.8130
UWW,3,215,,Umm al-Wawiya,,,,,,,,uncertain (mod. Umm al-Wawīya),,,,,,,,,,,,45.7626,31.2613
VAK,1,0,,Van,,,,,,,,,,,,,,,,,,,,43.3551,38.5156
VAN,3,0,Turuspa,Van,,,,,,,,,https://pleiades.stoa.org/places/964673805,https://www.openstreetmap.org/way/135564251,,https://en.wikipedia.org/wiki/Tushpa,,,,,,,,43.3397,38.5011
VAR,2,0,,Vardatsor,,Վարդաձոր,,,,,,,,https://www.openstreetmap.org/node/2340471828,https://www.geonames.org/859714,https://en.wikipedia.org/wiki/Vardadzor,,,,,,,,45.1930,40.1888
WIN,1,0,,Wingate,,,,,,וינגייט,,,,https://www.openstreetmap.org/way/277881960,https://www.geonames.org/8142263,,,,,,,,,34.8349,32.2616
WLS,1,0,,Wādī al-Sab`,وادي آل سبع,,,,,,,,https://pleiades.stoa.org/places/528477899,,https://www.geonames.org/268547,,,,,,,,,36.3490,34.5518
WRS,2,0,,Tall Warīsh,تل وريش,,,,,,,Tell Waresh,,,,,,,,,,,,45.3421,32.1834
XOC,1,0,,Xocali,,,,,,,,,,,,,,,,,,,,46.8015,39.9060
YAH,3,67,,Tapah Yahiya,,,تپه یحیی‎,,,,,uncertain (mod. Tepe Yahya),https://pleiades.stoa.org/places/29783,,https://www.geonames.org/6986540,https://en.wikipedia.org/wiki/Tepe_Yahya,,https://fa.wikipedia.org/wiki/تپه_یحیی,,,,,https://wikidata.org/wiki/Q384077,56.8675,28.3309
YAL,2,0,,Yalçınkaya,,,,,,,,,,https://www.openstreetmap.org/node/2291750346,https://www.geonames.org/307181,,,,,,,,,42.8485,39.1768
YAR,3,219,,Tall Yārah,تل يارة,,,,,,,uncertain (mod. Tell Yarah),,https://www.openstreetmap.org/way/615434986,https://www.geonames.org/6860535,,,,,,,,,43.2532,36.4466
YAS,3,0,,Yassi Höyük,,,,,,,,,,,,,,,,,,,,34.8825,39.9931
YAZ,2,0,,Yazılıtaş,,,,,,,,,,https://www.openstreetmap.org/node/2446149674,https://www.geonames.org/297344,,,,,,,,,42.2755,39.8708
YEL,3,436,,Yelkhi,تل يلخي,,,,,,,uncertain (mod. Tell Yelkhi),,,,,,,,,,,,45.0013,34.2856
YES,1,0,,Yeşilağaç,,,,,,,,,,https://www.openstreetmap.org/node/1482093959,https://www.geonames.org/296884,,,,,,,,,44.0205,38.4386
YON,1,78,,Yoncali,,,,,,,,uncertain (mod. Yoncali),https://pleiades.stoa.org/places/708232007,https://www.openstreetmap.org/node/161946697,https://www.geonames.org/296593,,,,,,,,,42.1875,39.1290
YSJ,1,188,,Yāsūj,یاسوج,,,,,,,uncertain (mod. Yasuj),,https://www.openstreetmap.org/relation/8073640,https://www.geonames.org/66093,https://en.wikipedia.org/wiki/Yasuj,,https://fa.wikipedia.org/wiki/یاسوج,,,,,,51.5796,30.6673
ZAA,0,122,,Za‘alah,Unknown,,,,,,,uncertain (mod. Za'aleh),,,,,,,,,,,,#N/A,#N/A
ZAB,3,98 : 99,Zabalam,Tall Ibzaīykh,تل ابزيخ,,,,,,,Zabalam (mod. Ibzaikh) : uncertain (mod. Ibzaih),https://pleiades.stoa.org/places/921099766,https://www.openstreetmap.org/node/5279096380,https://www.geonames.org/6755876,https://en.wikipedia.org/wiki/Zabala_(Sumer),https://ar.wikipedia.org/wiki/زابالا_(مدينة_سومرية),,,,,,https://wikidata.org/wiki/Q1074177,45.8749,31.7436
ZBD,1,433,,Tall Zubīdī,تل زبيدي,,,,,,,uncertain (mod. Tell Subeidi),,,,,,,,,,,,45.0312,34.1982
ZCR,3,14,Samal,Zinčirli,,,,,,,,Samal (mod. Zinčirli),https://pleiades.stoa.org/places/192555966,,,https://en.wikipedia.org//wiki/Samʼal,,,,,https://tr.wikipedia.org/wiki/Zincirli_Höyük,http://publikationen.badw.de/de/rla/index#10286,,36.6783,37.1035
ZIW,2,0,,Ẕiwyah,,,زیویه,,,,,,https://pleiades.stoa.org/places/884230,https://www.openstreetmap.org/way/344744849,https://www.geonames.org/10971678,https://en.wikipedia.org/wiki/Ziwiyeh_Castle,,https://fa.wikipedia.org/wiki/تپه_قلعه_زیویه,,,,,,46.6879,36.2739
ZLB,1,58,,Zālūl Āb,زالوآب,,,,,,,uncertain (mod. Zalil Ab),https://pleiades.stoa.org/places/420860522,https://www.openstreetmap.org/node/3520298814,https://www.geonames.org/23313,"https://en.wikipedia.org/wiki/Zalu_Ab,_Kermanshah",,https://fa.wikipedia.org/wiki/زالوآب_(روانسر),,,,,,46.5799,34.6309
ZOH,1,116,,Sar-i Pol-i Zohāb,,,سر پل زهاب,,,,,uncertain (mod. Sar-i-pul-i-Zohāb),,,,https://en.wikipedia.org/wiki/Anubanini_rock_relief,,,,,,,,45.8692,34.4633
ZTP,3,244,Tushhan,Ziyaret Tepe,,,,,,,,Tushhan (mod. Ziyaret Tepe),,https://www.openstreetmap.org/way/94498773,https://www.geonames.org/439817,https://en.wikipedia.org/wiki/Tushhan,,,,,https://tr.wikipedia.org/wiki/Ziyaret_Tepe_Höyüğü,,https://wikidata.org/wiki/Q4819172,40.7929,37.7936
ZVA,1,0,,Zvartʻnotsʻ,,Զվարթնոց,,,,,,,,https://www.openstreetmap.org/node/3135301834,https://www.geonames.org/866096,"https://en.wikipedia.org/wiki/Zvartnots,_Armenia",,https://fa.wikipedia.org/wiki/سنگ%E2%80%8Cنگاره_آنوبانی%E2%80%8Cنی,,,,,https://wikidata.org/wiki/Q505175,44.3366,40.1596
ZWY,1,271,,Zawiyah,زوية,,,,,,,uncertain (mod. Zawiyya),https://pleiades.stoa.org/places/767486703,,,,,,,,,,,42.1725,34.2925
